Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
85,1385,2,False,True,True,۱ ساعت پیش در تهران، جیحون,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان
147,1386,3,True,True,True,۱ ساعت پیش در تهران، جردن,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان
90,1390,2,True,True,True,۱ ساعت پیش در تهران، اباذر، بلوار اباذر (بزرگراه حکیم),۷٬۷۴۰٬۰۰۰٬۰۰۰ تومان
74,1385,2,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان
90,1390,2,True,True,True,۱ ساعت پیش در تهران، کوی فردوس,۷٬۵۵۰٬۰۰۰٬۰۰۰ تومان
53,1394,1,True,True,True,۱ ساعت پیش در تهران، آذربایجان,۳٬۸۵۰٬۰۰۰٬۰۰۰ تومان
170,1396,3,True,True,True,۱ ساعت پیش در تهران، فرمانیه,۲۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان
96,1380,2,True,False,True,۱ ساعت پیش در تهران، بلوار کشاورز,۶٬۴۰۰٬۰۰۰٬۰۰۰ تومان
103,1386,2,True,True,True,۱ ساعت پیش در تهران، هروی,۹٬۴۹۰٬۰۰۰٬۰۰۰ تومان
48,1384,1,False,False,True,۱ ساعت پیش در تهران، جیحون، خیابان کمیل (خیابان کمیل),۲٬۳۸۰٬۰۰۰٬۰۰۰ تومان
192,1388,3,True,True,True,۱ ساعت پیش در تهران، الهیه,۲۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان
325,1392,4,True,True,True,۱ ساعت پیش در تهران، الهیه,۵۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
118,1395,2,True,True,True,۱ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۸٬۴۹۶٬۰۰۰٬۰۰۰ تومان
120,1401,2,True,True,True,۱ ساعت پیش در تهران، چیتگر,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان
82,1386,2,False,True,True,۱ ساعت پیش در تهران، سازمان برنامه، خیابان کاشانی (بلوار آیت الله کاشانی),۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان
190,1381,3,True,True,True,۱ ساعت پیش در تهران، الهیه,۲۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان
110,1401,2,True,True,True,۱ ساعت پیش در تهران، شمس‌آباد,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان
95,1396,2,True,True,True,۱ ساعت پیش در تهران، شمس‌آباد,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
170,1394,3,True,True,True,۱ ساعت پیش در تهران، گیشا (کوی نصر)، خیابان گیشا (ب. جلال آل احمد),۱۹٬۸۰۰٬۰۰۰٬۰۰۰ تومان
65,1387,2,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی,۵٬۸۰۰٬۰۰۰٬۰۰۰ تومان
118,1397,2,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۱۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان
80,1401,2,True,False,True,۱ ساعت پیش در تهران، میدان حر,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان
200,1398,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
61,1396,2,True,True,True,۱ ساعت پیش در تهران، اندیشه (شهر زیبا),۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان
45,1385,1,False,True,False,۱ ساعت پیش در تهران، شهران شمالی,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان
106,1391,2,False,True,True,۱ ساعت پیش در تهران، کوی مهران,۷٬۲۰۰٬۰۰۰٬۰۰۰ تومان
86,1387,2,True,True,True,۱ ساعت پیش در تهران، شهران جنوبی,۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان
315,1401,4,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۷۷٬۱۷۵٬۰۰۰٬۰۰۰ تومان
56,1375,1,False,False,True,۱ ساعت پیش در تهران، جیحون,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان
85,1401,2,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۱۰٬۴۰۰٬۰۰۰٬۰۰۰ تومان
